value,hits,bytes,cost,Price,dup
Armchair%2BBlue.glb,14,5914184,0.0,399.0,False
EZLivingInteriors_-_PrimrosePink.usdz,14,26246979,0.0,59.0,False
Armchair.glb,13,17706831,0.0,499.0,True
Footstool.glb,12,26868166,0.0,449.0,True
Corner%2BRight.glb,12,20788823,0.0,1199.0,True
Corner%2BLeft.glb,12,20788812,0.0,1199.0,True
Zelda%2BBurnt%2BOrange.glb,12,16772648,0.0,399.0,False
EZLivingInteriors_-_PrimroseBrown.usdz,12,23960844,0.0,59.0,False
2%2BSeater.glb,11,19300651,0.0,649.0,True
3%2BSeater.glb,11,19185587,0.0,649.0,True
tween_02.usdz,11,30550108,0.0,269.0,False
Wind.usdz,10,8759710,0.0,349.0,False
New%2BArmchair.glb,10,20791875,0.0,,False
Project%2BName%2B%25281%2529.glb,10,1088,0.0,,False
carter%2B%25281%2529.glb,10,1088,0.0,,True
viewer.css',10,19000,0.0,,False
viewer.js',10,17568,0.0,,False
deposition_01.glb,10,18550064,0.0,,False
2%2BSeater.glb,9,1232,0.0,,True
Armchair.glb,9,1232,0.0,,True
3%2BSeater.glb,9,1232,0.0,,True
3%2BSeater.glb,9,1220,0.0,,True
LargeBench.glb,9,1088,0.0,1445.0,False
Right_Black.glb,9,1232,0.0,999.0,False
Right_Taupe.glb,9,1232,0.0,999.0,False
DegiroTest.js',9,1640,0.0,,False
qrcode.js',9,232176,0.0,,False
2%2BSeater.glb,8,1088,0.0,649.0,True
2%2BSeater.glb,8,7922452,0.0,499.0,True
Bedside%2BLocker.glb,8,1088,0.0,179.0,False
Black.glb,8,1088,0.0,,True
Double%2BWardrobe.glb,8,1088,0.0,499.0,False
green.glb,8,1088,0.0,,True
EZLivingInteriors_-_Sorrento3Seater.usdz,7,209293791,0.0,,False
Green.glb,7,3194960,0.0,,True
Montreux%2BGrey%2BWashed.glb,7,544,0.0,135.0,False
Montreux%2BGrey%2BWashed%2BX.glb,7,544,0.0,135.0,False
EZLivingInteriors-Cheltenham3plus2.usdz,7,13623995,0.0,499.0,False
Blue.glb,6,8641052,0.0,,True
3%2BSeater.glb,6,7240312,0.0,649.0,True
Blue.glb,6,4415760,0.0,,True
Blue.glb,6,3198452,0.0,349.0,True
Green.glb,6,3156276,0.0,349.0,True
White.glb,6,3118996,0.0,349.0,False
Black.glb,6,2179364,0.0,,True
ConsoleTable.glb,6,544,0.0,,False
hydration.glb,6,7632352,0.0,,False
Corner%2BRight.glb,5,544,0.0,1099.0,True
Chair.glb,5,544,0.0,499.0,False
Footstool.glb,5,544,0.0,269.0,True
Corner%2BLeft.glb,5,544,0.0,1099.0,True
2%2BSeater%2BGrey.glb,5,544,0.0,599.0,False
2.glb,5,544,0.0,439.0,True
Swivel%2BChair.glb,5,544,0.0,,False
3%2BSeater%2BGrey.glb,5,544,0.0,499.0,False
Turquoise.glb,5,544,0.0,349.0,False
Armchair%2BGrey.glb,5,544,0.0,399.0,False
2%2BSeater%2BBlue.glb,5,544,0.0,499.0,False
Armchair.glb,5,544,0.0,,True
Left.glb,5,544,0.0,349.0,False
Navy.glb,5,544,0.0,349.0,False
Armchair%2B%252B%2BFootrest%2BGrey.glb,5,544,0.0,179.0,False
Armchair%2B%252B%2BFootrest%2BBlue.glb,5,544,0.0,179.0,False
Right.glb,5,544,0.0,,False
Green.glb,5,544,0.0,349.0,True
Loveseat.glb,5,544,0.0,299.0,False
3%2BSeater.glb,5,544,0.0,349.0,True
Zelda%2BBlue%2BAccent.glb,5,544,0.0,399.0,False
3%2BSeater%2BBlue.glb,5,544,0.0,499.0,False
3.glb,5,544,0.0,449.0,True
Sofa.glb,5,544,0.0,999.0,False
2%2BSeater.glb,5,544,0.0,649.0,True
1.glb,5,544,0.0,449.0,False
CoffeeTable.glb,5,544,0.0,299.0,False
EntertainmentUnit.glb,5,544,0.0,,False
Bookcase.glb,5,544,0.0,,False
Bedframe%2B4%25276.glb,5,544,0.0,,False
Green.glb,5,544,0.0,348.0,True
Pink.glb,5,544,0.0,308.0,True
Charcoal.glb,5,544,0.0,308.0,True
Closed.glb,5,544,0.0,749.0,False
Blue.glb,5,544,0.0,308.0,True
2.glb,5,544,0.0,1197.0,True
Carson.glb,5,544,0.0,179.0,False
Armchair.glb,5,544,0.0,399.0,True
3%2BSeater.glb,5,544,0.0,699.0,True
Mustard.glb,5,544,0.0,,False
grey.glb,5,544,0.0,,True
3.glb,5,544,0.0,1197.0,True
Arm.glb,5,544,0.0,,False
Opened.glb,5,544,0.0,749.0,False
2%2BSeater.glb,5,544,0.0,,True
Brinley_15L_25R_Charcoal.glb,5,544,0.0,1199.0,False
Brinley_15L_25R_Turquoise.glb,5,544,0.0,1199.0,False
Brinley_25L_15R_Turquoise.glb,5,544,0.0,1199.0,False
Brinley_25L_15R_Charcoal.glb,5,544,0.0,1199.0,False
Emily_Dressing_Table_%2526_Stool.glb,5,544,0.0,299.0,False
FarrowArmchair.glb,5,544,0.0,349.0,False
Emily%2B4%25276%2BBedframe.glb,5,544,0.0,349.0,False
Emily%2BBedside%2BLocker.glb,5,544,0.0,125.0,False
4%25276%2BBedframe.glb,5,544,0.0,349.0,False
Emily%2B5%2527%2BBedframe.glb,5,544,0.0,349.0,False
3%2BDrawer%2BBedside%2BTable.glb,5,544,0.0,99.0,False
2%2BOver%2B3.glb,5,544,0.0,249.0,False
5%2BBedframe.glb,5,544,0.0,249.0,False
Emily%2B3%2527%2BBedframe.glb,5,544,0.0,349.0,False
Emily%2B6%2BDrawer%2BDresser.glb,5,544,0.0,299.0,False
Emily%2BBlanket%2BBox.glb,5,544,0.0,149.0,False
Grey.glb,5,544,0.0,59.0,False
Emily%2B4%2527%2BBedframe.glb,5,544,0.0,349.0,False
3%2BOver%2B4.glb,5,544,0.0,249.0,False
3%252B3%2BChest%2Bof%2BDrawers.glb,5,544,0.0,549.0,False
3%252B2%2BChest%2Bof%2BDrawers.glb,5,544,0.0,549.0,False
Ivory.glb,5,544,0.0,59.0,False
bed%2B4.glb,5,544,0.0,269.0,False
fabric_light.glb,5,544,0.0,149.0,False
velvet_pink.glb,5,544,0.0,149.0,False
fabric_dark.glb,5,544,0.0,149.0,False
dresser%2Band%2Bmirror.glb,5,544,0.0,1005.0,False
pink.glb,5,544,0.0,449.0,False
